,Harmony,BBKNN,Scanorama,Combat
iLISI,0.4440412116480343,0.01693070388409601,0.49647258676464096,0.1859542475232785
GraphConn,0.9901414547355346,0.9942506795364567,0.8739015464743632,0.9915271213725687
ASW_batch,0.9487330153959727,0.8736663621533436,0.9337065869322938,0.9345327216814411
PCR,0.920782771831573,0.0,0.7428312685434485,0.9999997356235361
BatchScore,0.8259246134027786,0.4712119363934741,0.7617279971786867,0.7780034565502061
ASW,0.5552472561895239,0.5467255488038063,0.5127639742771581,0.5365536361932755
ARI,0.47664918954127344,0.24729041470575264,0.1902812627414036,0.29961974060429325
NMI,0.5160495945415852,0.4319208507180328,0.34388451433394457,0.4928826484773494
BioScore,0.5159820134241274,0.4086456047425306,0.3489765837841688,0.4430186750916394

